=========================
RESULTADOS DE CONVERSIÓN
=========================

Total de números procesados: 200
Total de errores encontrados: 0
-------------------------

Decimal         Binario                   Hexadecimal    
-------------------------
-39             11011001                  FFFFFFFFD9     
-36             11011100                  FFFFFFFFDC     
8               1000                      8              
34              100010                    22             
17              10001                     11             
49              110001                    31             
5               101                       5              
39              100111                    27             
0               0                         0              
33              100001                    21             
12              1100                      C              
-6              11111010                  FFFFFFFFFA     
27              11011                     1B             
-4              11111100                  FFFFFFFFFC     
-38             11011010                  FFFFFFFFDA     
26              11010                     1A             
49              110001                    31             
29              11101                     1D             
42              101010                    2A             
-16             11110000                  FFFFFFFFF0     
-28             11100100                  FFFFFFFFE4     
34              100010                    22             
20              10100                     14             
0               0                         0              
25              11001                     19             
45              101101                    2D             
3               11                        3              
-46             11010010                  FFFFFFFFD2     
-46             11010010                  FFFFFFFFD2     
29              11101                     1D             
33              100001                    21             
29              11101                     1D             
26              11010                     1A             
-5              11111011                  FFFFFFFFFB     
-36             11011100                  FFFFFFFFDC     
12              1100                      C              
45              101101                    2D             
-50             11001110                  FFFFFFFFCE     
0               0                         0              
-6              11111010                  FFFFFFFFFA     
-39             11011001                  FFFFFFFFD9     
35              100011                    23             
26              11010                     1A             
-35             11011101                  FFFFFFFFDD     
-42             11010110                  FFFFFFFFD6     
14              1110                      E              
-3              11111101                  FFFFFFFFFD     
22              10110                     16             
-47             11010001                  FFFFFFFFD1     
12              1100                      C              
-17             11101111                  FFFFFFFFEF     
-31             11100001                  FFFFFFFFE1     
-25             11100111                  FFFFFFFFE7     
-35             11011101                  FFFFFFFFDD     
-18             11101110                  FFFFFFFFEE     
14              1110                      E              
37              100101                    25             
-8              11111000                  FFFFFFFFF8     
-41             11010111                  FFFFFFFFD7     
-50             11001110                  FFFFFFFFCE     
-9              11110111                  FFFFFFFFF7     
2               10                        2              
12              1100                      C              
-39             11011001                  FFFFFFFFD9     
-17             11101111                  FFFFFFFFEF     
0               0                         0              
27              11011                     1B             
28              11100                     1C             
45              101101                    2D             
-44             11010100                  FFFFFFFFD4     
28              11100                     1C             
35              100011                    23             
-33             11011111                  FFFFFFFFDF     
43              101011                    2B             
-4              11111100                  FFFFFFFFFC     
23              10111                     17             
-49             11001111                  FFFFFFFFCF     
49              110001                    31             
-7              11111001                  FFFFFFFFF9     
-38             11011010                  FFFFFFFFDA     
-45             11010011                  FFFFFFFFD3     
5               101                       5              
-21             11101011                  FFFFFFFFEB     
26              11010                     1A             
-2              11111110                  FFFFFFFFFE     
-24             11101000                  FFFFFFFFE8     
6               110                       6              
-45             11010011                  FFFFFFFFD3     
-4              11111100                  FFFFFFFFFC     
15              1111                      F              
0               0                         0              
-17             11101111                  FFFFFFFFEF     
-35             11011101                  FFFFFFFFDD     
43              101011                    2B             
45              101101                    2D             
-35             11011101                  FFFFFFFFDD     
-8              11111000                  FFFFFFFFF8     
28              11100                     1C             
47              101111                    2F             
34              100010                    22             
-24             11101000                  FFFFFFFFE8     
-42             11010110                  FFFFFFFFD6     
-13             11110011                  FFFFFFFFF3     
